Part                                             ,Description                                                                       ,Quantity          ,Supplier      ,Supplier Part Number ,Unit Cost (CAD) ,Reference
3/8in. ID Tubing                                 ,"3/8in. ID x 1/2in. OD x 10ft. Coil, Polyethylene, 230psi max"                    ,1                 ,McMaster-Carr ,1979T3               ,14.00           ,https://www.mcmaster.com/1979T3/
1/4in. OD Tubing                                 ,"1/8in. ID x 1/4in. OD x 25ft. Coil, Polyethylene, 270psi max"                    ,1                 ,McMaster-Carr ,1979T4               ,9.06            ,https://www.mcmaster.com/1979T4/
PTFE Tape                                        ,"1/2in. x 21ft. Roll, White"                                                      ,1                 ,McMaster-Carr ,4934A14              ,17.76           ,https://www.mcmaster.com/4934A14
SAE #6 Hose Clamp (Pack of 10)                   ,"7/32in. to 5/8in. dia., 1/2in. Band Width, Steel, Worm-Drive, 1/4in. Hex Head"   ,1 pack (10 units) ,McMaster-Carr ,5415K11              ,9.81 (0.98 ea.) ,https://www.mcmaster.com/5415K11
Bonded O-Rings for 1/2 BSPP                      ,"Nitrile Rubber and Steel, 1400psi max"                                           ,5                 ,McMaster-Carr ,50915K816            ,1.11            ,https://www.mcmaster.com/50915K816/
Double Grip-Lock Hose Coupling Socket to 1/2 MPT ,"Zinc-Plated Steel, 300psi max"                                                   ,1                 ,McMaster-Carr ,6539K37              ,19.82           ,https://www.mcmaster.com/6539K37/
Double Grip-Lock Hose Coupling Plug to 1/2 MPT   ,"Zinc-Plated Steel, 300psi max"                                                   ,1                 ,McMaster-Carr ,6539K67              ,11.90           ,https://www.mcmaster.com/6539K67/
Shutoff Valve                                    ,"Brass, 1/2 FPT, 600psi max"                                                      ,2                 ,McMaster-Carr ,47865K23             ,16.18           ,https://www.mcmaster.com/47865K23
1/2 MPT to 3/8in. Barb                           ,"Brass, 150psi max"                                                               ,1                 ,McMaster-Carr ,2838N23              ,4.69            ,https://www.mcmaster.com/2838N23
Diaphragm Pump                                   ,"4.1L/min @80PSI, Auto-Shutoff"                                                   ,1                 ,Amazon        ,                     ,36.99           ,https://www.amazon.ca/SAILFLO-Pressure-Diaphragm-Caravan-Marine/dp/B0711RC7DB
3/8 MPT to 3/8in. Barb                           ,"Aluminum, 150psi max"                                                            ,1                 ,McMaster-Carr ,5357K37              ,4.10            ,https://www.mcmaster.com/5357K37/
Heat Sink Manifold                               ,"Aluminum, 1/2 FPT inlet x 3x 3/8 FPT outlet, 1000psi max"                        ,1                 ,McMaster-Carr ,3491N13              ,40.37           ,https://www.mcmaster.com/3491N13/
3/8 MPT Manifold Plug                            ,"Aluminum, 5/16in. Hex Drive, 150psi max"                                         ,2                 ,McMaster-Carr ,3867T364             ,6.03            ,https://www.mcmaster.com/3867T364/
1/2 MPT to 3/8in. Barb                           ,"Aluminum, 150psi max"                                                            ,1                 ,McMaster-Carr ,5357K38              ,7.44            ,https://www.mcmaster.com/5357K38/
3/8 MPT to 3/8in. Barb                           ,"Brass, 150psi max"                                                               ,1                 ,McMaster-Carr ,2838N22              ,3.36            ,https://www.mcmaster.com/2838N22/
3/8 FPT Elbow                                    ,"Brass, 1000psi max"                                                              ,2                 ,McMaster-Carr ,50785K37             ,4.98            ,https://www.mcmaster.com/50785K37
Solution Manifold                                ,"3/8 MPT Inlet (brass) to 6x 1/4in. OD Push-Connect Outlet (plastic), 140psi max" ,2                 ,McMaster-Carr ,5203K956             ,20.18           ,https://www.mcmaster.com/5203K956/
1/4in. OD Push Connect Tee                       ,"Plastic, 140psi max"                                                             ,6                 ,McMaster-Carr ,5111K528             ,5.28            ,https://www.mcmaster.com/5111k528/
1/4in. OD Push Connect Plug                      ,"Plastic, 140psi max"                                                             ,6                 ,McMaster-Carr ,5111K504             ,1.18            ,https://www.mcmaster.com/5111K504/
1/4in. OD Push Connect Elbow                     ,"Plastic, 140psi max"                                                             ,8                 ,McMaster-Carr ,5111K488             ,4.58            ,https://www.mcmaster.com/5111K488/
3/8 NPT Right-Angle Tee Adapter                  ,"Brass, 1000psi max"                                                              ,1                 ,McMaster-Carr ,50785K223            ,10.50           ,https://www.mcmaster.com/50785K223/
1/2 FPT to 3/8 MPT Reducing Adapter              ,"Brass, 1000psi max"                                                              ,1                 ,McMaster-Carr ,50785K29             ,6.21            ,https://www.mcmaster.com/50785K29/
Accumulator Tank                                 ,"0.75L, 125psi max"                                                               ,1                 ,Amazon        ,                     ,57.79           ,https://www.amazon.ca/dp/B08J3W7742
1/2 FPT to 1/2 M BSPP Adapter                    ,"Brass, 250psi max"                                                               ,1                 ,McMaster-Carr ,1786N138             ,35.82           ,https://www.mcmaster.com/1786N138/
1/2 BSPP Tee                                     ,"Brass, 725psi max"                                                               ,1                 ,McMaster-Carr ,9151K272             ,10.86           ,https://www.mcmaster.com/9151K272/
1/2 BSPP Nipple                                  ,"Brass, 725psi max"                                                               ,1                 ,McMaster-Carr ,9151K375             ,4.90            ,https://www.mcmaster.com/9151K375/
1/2 F BSPP to 1/2 MPT Adapter                    ,"Brass, 1000psi max"                                                              ,1                 ,McMaster-Carr ,50785K608            ,25.74           ,https://www.mcmaster.com/50785K608/
1/2 FPT to 1/4in. OD Compression Fitting         ,"Brass, 90psi max"                                                                ,1                 ,McMaster-Carr ,51875K14             ,12.04           ,https://www.mcmaster.com/51875K14/